Category,Term
Main terms,Agile
Main terms,safety-critical
Main terms,domains
Main terms,standards
Safety-critical keywords,Safety
Safety-critical keywords,Safety-Systems
Safety-critical keywords,Safety-Critical Systems
Safety-critical keywords,High Integrity
Safety-critical keywords,High Integrity Systems
Safety-critical keywords,HIS
Safety-critical keywords,Safety Integrity
Agile keywords,Agile
Agile keywords,Scrum
Agile keywords,Kanban
Agile keywords,XP
Safety domains,aerospace
Safety domains,aeronautic
Safety domains,avionics
Safety domains,railway
Standards,DO-178C
Standards,DO-178B
Standards,ARP4761
Standards,EN50128
